,wbcode,year,Democracy,Protest,Within,Credibility,Adverse,Flexibility,Regime,Violence,Transparency,Democracy.rfI,Protest.rfI,Within.rfI,Credibility.rfI,Adverse.rfI,Flexibility.rfI,Regime.rfI,Violence.rfI,Transparency.rfI
51,ABW,2005,,,,,,,,,,-0.101926999,-0.291477338,-0.520081274,-0.265210899,-0.602354234,-0.208320283,-0.294464072,-0.421949313,-0.234801547
52,ABW,2006,,,,,,,,,,0.47225254,-0.228263202,-0.321543371,-0.649730066,-0.433259122,-0.052311798,-0.25506111,-0.146216176,-0.36592731
53,ABW,2007,,,,,,,,,,0.250475306,-0.228484541,-0.436855892,-0.666348335,-0.275716469,-0.089319954,-0.23710856,-0.206736831,-0.443052645
54,ABW,2008,,,,,,,,,,0.889213115,-0.268976641,-0.453294811,-0.591116737,0.754559019,0.019980556,-0.191976819,0.115893465,0.520336441
55,ABW,2009,,,,,,,,,,0.658470692,-0.285774785,-0.329487332,-0.250267316,0.519988722,-0.150564882,-0.235045776,-0.199506257,0.076076353
56,ABW,2010,,,,,,,,,,-0.27736473,-0.230825912,0.195780285,0.180107805,-0.357052127,-0.079390426,-0.360605197,0.262909821,-0.178718219
57,ABW,2011,,,,,,,,,,-0.765020185,-0.235477593,-0.583206974,-0.607679651,-0.533483443,-0.102404975,-0.325791383,-0.254792988,-0.039581221
58,ABW,2012,,,,,,,,,,-0.391395109,-0.207825964,-0.287928794,-0.607914835,-0.306806815,-0.046027186,-0.394493163,-0.828544839,-0.01062297
59,ABW,2013,,,,,,,,,,-0.101467006,-0.24310669,0.02635881,0.56714886,-0.138488623,-0.299719368,-0.400155563,-0.44141719,-0.351514176
60,ABW,2014,,,,,,,,,,0.552533984,0.063905095,-0.616749038,-0.229404565,-0.131404906,-0.120629747,-0.215772687,-0.022990794,0.041454258
61,ADO,1975,,,,,,,,,,0.513859161,-0.31710293,-0.289253205,0.562647648,-0.390926176,-0.175632624,-0.32226187,-0.222997867,-0.092682427
62,ADO,1976,,,,,,,,,,0.422179977,-0.208125341,-0.259345625,-0.676448761,-0.635288901,-0.041837775,-0.34456055,0.100505873,-0.360975503
63,ADO,1977,,,,,,,,,,0.320392624,-0.27288209,-0.469754253,-0.279426447,0.406195432,-0.183711608,-0.271466417,-0.509681052,-0.244892725
64,ADO,1978,,,,,,,,,,0.866928108,-0.285894872,-0.233427973,0.238230419,0.564210086,0.021048459,-0.31689058,0.256042731,0.543000798
65,ADO,1979,,,,,,,,,,0.557102345,-0.319826552,-0.104088578,-0.254712639,-0.623884881,-0.214002308,-0.099319651,-0.355856238,-0.336653673
66,ADO,1980,,,,,,,,,,0.740456441,-0.229179011,-0.171205464,-0.66053102,0.161582462,-0.00436839,-0.296013344,-0.02803191,-0.140665854
67,ADO,1981,,,,,,,,,,-0.004308568,-0.323221266,-0.540201097,-0.07519786,0.445464361,-0.018351642,-0.001854402,-0.201526622,-0.557453015
68,ADO,1982,,,,,,,,,,0.253490227,-0.202596961,0.555471896,1.00932947,-0.016274934,-0.183392224,-0.42682019,0.327905721,-0.458580441
69,ADO,1983,,,,,,,,,,-0.233453154,-0.183842857,-0.261321382,-0.675164993,0.81219797,-0.062256135,-0.321415495,-0.631111213,-0.117135923
70,ADO,1984,,,,,,,,,,0.687638783,-0.178493471,-0.467223499,1.228495034,0.162569862,-0.170087474,-0.193877283,0.460484207,0.034036939
71,ADO,1985,,,,,,,,,,0.558477141,-0.270974905,0.0737371,0.582036231,0.273906013,-0.259057472,-0.334808366,-0.396998232,-0.190464553
72,ADO,1986,,,,,,,,,,-0.538129679,-0.229699118,-0.48802476,-0.654527833,-0.552003858,-0.084779772,-0.262430358,0.574168791,-0.149395509
73,ADO,1987,,,,,,,,,,-0.785709619,-0.239298242,-0.401120894,-0.604903085,-0.356555925,-0.087269999,-0.252751292,-0.038269336,0.005286844
74,ADO,1988,,,,,,,,,,0.796335126,-0.245255671,-0.394323716,-0.6001561,0.489892401,0.008536141,-0.260303129,-0.002937319,0.298236034
75,ADO,1989,,,,,,,,,,0.748102727,-0.342208521,-0.235110282,1.497940475,0.629397793,-0.252739244,-0.332961125,-0.121037059,0.359023789
76,ADO,1990,,,,,,,,,,-0.698687443,-0.214712345,-0.56860418,-0.636403437,-0.16355357,-0.083922998,-0.324929226,-0.103730002,0.069417178
77,ADO,1991,,,,,,,,,,0.81802428,-0.237018281,-0.328387333,-0.634461397,0.03044452,-0.000444962,-0.248225691,0.525311863,0.10334311
